DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Taxa barchart2
COLOR	#00FF00
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
FIELD_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
LEGEND_TITLE	Dataset legend
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
LEGEND_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
MARGIN	0
WIDTH	200
DATA
Capra_hircus	79483	71	1911	97411	6646	312	31378	439	15
Bos_frontalis	20424	25	1124	164968	1165	473	39350	390	9
Cervus_unicolor	17005	43	667	171687	320	102	16998	260	0
Bos_taurus	3824	14	3490	151789	253	479	49223	910	10
Apodemus_sylvaticus	1517	0	0	46385	11	230	4848	9	4
Ardea_cinerea	5746	3	0	80155	469	0	0	0	12
Haliaeetus_albicilla	45392	0	0	64522	269	0	533	0	4300
Phalacrocorax_carbo	16051	0	0	52734	4312	0	532	0	1030
Carduelis_chloris	12277	3	0	22020	125	0	66	0	0
Salvelinus_fontinalis	8214	0	0	848	0	0	2	0	2565
Hemidactylus_frenatus	1800	0	6	5575	4392	231	234	0	194
Homo_sapiens	4321	0	801	177892	4144	329	138759	388	24
Ursus_arctos	25041	18	32	132715	39	8	153	0	183
Zamenis_longissimus	59260	11	32	11945	480	28	25347	0	120
Podarcis_siculus	51454	0	207	3186	206	229	7609	4	10
Cricetus_cricetus	853	0	5	48124	2159	781	84242	1337	19
Lynx_lynx	4932	0	60	161095	3984	0	3082	0	8760
