sampleid	Extraction_ID	Location	Sitename	Lat	Long	Habitat	Date	Time	Family	Genus	species	Tax	Weight	TL	SL	SI	Diet	Microbiome	AE1	AE2	Gonads	GW	LW	Otolith	Sex	Month
F164	F164	Moorea	SecretPass	-17.53385	-149.91769	Slope	27/03/2018	9:45-11:20	Serranidae	Cephalopholis 	argus	CEPHARGU	188.8	24.2	21.5	Y	carnivore	Y	N	N	N	NA	NA	NA	NA	March
F264	F264	Moorea	Gump	-17.47325	-149.81839	Slope	30/06/2018	10:45-12:30	Serranidae	Cephalopholis 	argus	CEPHARGU	271.2	26.5	23.5	Y	carnivore	Y	N	N	Y	0.307	0.669	NA	F	June
F267	F267	Moorea	Gump	-17.47325	-149.81839	Slope	30/06/2018	10:45-12:30	Serranidae	Cephalopholis 	argus	CEPHARGU	126.3	31.5	19.5	Y	carnivore	Y	Y	Y	Y	0.401	1.493	NA	F	June
F311	F311	Moorea	TiaharaPass	-17.48229	-149.88779	Slope	43166	10.15-11.55	Serranidae	Cephalopholis 	argus	CEPHARGU	163.9	22.1	17.4	Y	carnivore	Y	N	N	Y	0.301	0.805	NA	F	July
F326	F326	Moorea	Chrisp	-17.47584	-149.83394	Slope	43197	10.00-12.00	Serranidae	Cephalopholis 	argus	CEPHARGU	251.2	24.5	21.4	Y	carnivore	Y	N	N	Y	0.403	1.533	NA	F	July
F336	F336	Moorea	Chrisp	-17.47584	-149.83394	Slope	43197	10.00-12.00	Serranidae	Cephalopholis 	argus	CEPHARGU	187.3	21	18	Y	carnivore	Y	Y	Y	Y	0.519	2.058	NA	F	July
F345	F345	Moorea	OponohuDaybreakII	-17.48607	-149.85915	Pass	43227	7.50-8.35	Serranidae	Cephalopholis 	argus	CEPHARGU	211.5	24.4	18.7	Y	carnivore	Y	Y	Y	Y	0.448	1.515	NA	F	July
F350	F350	Moorea	OponohuDaybreakI	-17.4888	-149.85818	Lagoon	43227	6.30-7.40	Serranidae	Cephalopholis 	argus	CEPHARGU	254	24.8	19.8	Y	carnivore	Y	N	Y	Y	0.4	0.639	NA	F	July
T41	T41	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Serranidae	Cephalopholis	argus	CEPHARGU	NA	30.5	25.4	Y	carnivore	Y	N	N	Y	0.458	0.771	N	F	October
T42	T42	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Serranidae	Cephalopholis	argus	CEPHARGU	226.3	25.3	20.5	Y	carnivore	Y	Y	Y	Y	0.875	1.98	N	F	October
T43	T43	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Serranidae	Cephalopholis	argus	CEPHARGU	91.5	18.3	14.5	Y	carnivore	Y	Y	N	Y	0.288	0.353	N	F	October
T44	T44	Tetiaroa	TO2	-17.00736	-149.59448	Slope	27.10.18	12.10-13.45	Serranidae	Cephalopholis	argus	CEPHARGU	359.3	29.2	23.4	Y	carnivore	Y	Y	N	Y	0.428	2.213	N	M	October
T54	T54	Tetiaroa	TO3	-17.00743	-149.59453	Slope	28.10.18	10.40-12.00	Serranidae	Cephalopholis	argus	CEPHARGU	124.6	20.3	16.4	Y	carnivore	Y	Y	Y	Y	0.418	0.517	N	M	October
T56	T56	Tetiaroa	TO3	-17.00743	-149.59453	Slope	28.10.18	10.40-12.00	Serranidae	Cephalopholis	argus	CEPHARGU	110.9	20.2	15.8	Y	carnivore	Y	N	N	Y	0.606	0.317	N	F	October
T57	T57	Tetiaroa	TO3	-17.00743	-149.59453	Slope	28.10.18	10.40-12.00	Serranidae	Cephalopholis	argus	CEPHARGU	374.2	29.9	24.2	Y	carnivore	Y	Y	N	Y	0.626	1.68	N	M	October
T59	T59	Tetiaroa	TO3	-17.00743	-149.59453	Slope	28.10.18	10.40-12.00	Serranidae	Cephalopholis	argus	CEPHARGU	215.6	24.9	20.6	Y	carnivore	Y	N	Y	Y	1.095	1.179	N	F	October
T60	T60	Tetiaroa	TO3	-17.00743	-149.59453	Slope	28.10.18	10.40-12.00	Serranidae	Cephalopholis	argus	CEPHARGU	321.4	26.5	21.7	Y	carnivore	Y	Y	Y	Y	1.312	1.706	N	F	October
T69	T69	Tetiaroa	TO4	-16.98261	-149.56053	Slope	28.10.18	12.10-14.00	Serranidae	Cephalopholis	argus	CEPHARGU	278.2	26.2	20.1	Y	carnivore	Y	Y	Y	Y	1.003	2.478	N	M	October
T77	T77	Tetiaroa	TO4	-16.98261	-149.56053	Slope	28.10.18	12.10-14.00	Serranidae	Cephalopholis	argus	CEPHARGU	225.8	25.3	20	Y	carnivore	Y	Y	Y	Y	0.964	1.29	N	F	October
T106	T106	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	29.10.18	12.10-14.30	Serranidae	Cephalopholis	argus	CEPHARGU	264.7	27.2	21.9	Y	carnivore	Y	Y	N	Y	0.164	0.886	N	F	October
T142	T142	Tetiaroa	TO5	-17.00358	-149.59195	Slope	30.10.18	13.15-14.45	Serranidae	Cephalopholis	argus	CEPHARGU	NA	30.9	26.1	Y	carnivore	Y	N	Y	Y	1.367	2.9	N	F	October
15	F82	Moorea	Haapiti	-17.5645	-149.887648	Slope	23/03/2018	10:20-12:00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	130.5	19	15	Y	corallivore	Y	Y	Y	N	NA	NA	NA	NA	March
160	T150	Tetiaroa	TL7	-16.99409	-149.55589	Lagoon	2.11.18	11.00-11.50	Chaetodontidae	Chaetodon	auriga	CHAEAURI	97.4	15.4	12.5	Y	corallivore	Y	Y	N	N	NA	0.242	Y	NA	NA
161	T152	Tetiaroa	TO6	-16.99398	-149.5563	Slope	3.11.18	9.30-10.45	Chaetodontidae	Chaetodon	auriga	CHAEAURI	106.4	16.6	13.8	Y	corallivore	Y	Y	Y	Y	0.143	1.019	Y	M	NA
175	T167	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	4.11.18	10.00-12.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	73.9	14.5	12	Y	corallivore	Y	Y	N	N	NA	0.672	Y	NA	NA
176	T168	Tetiaroa	TL2	-17.00312	-149.58804	Lagoon	4.11.18	10.00-12.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	76.2	15.5	13	Y	corallivore	Y	Y	Y	Y	0.191	0.618	Y	M	NA
177	T176	Tetiaroa	TO11	-17.00817	-149.59544	Slope	5.11.18	10.15-11.30	Chaetodontidae	Chaetodon	auriga	CHAEAURI	45.4	12.9	10.1	Y	corallivore	Y	Y	Y	N	NA	0.369	Y	M	NA
182	T189	Tetiaroa	TL8	-16.99798	-149.58922	Lagoon	6.11.18	10.10-11.30	Chaetodontidae	Chaetodon	auriga	CHAEAURI	72	16.1	12	Y	corallivore	Y	Y	Y	N	NA	0.514	Y	NA	NA
183	T190	Tetiaroa	TL8	-16.99798	-149.58922	Lagoon	6.11.18	10.10-11.30	Chaetodontidae	Chaetodon	auriga	CHAEAURI	92.3	16.3	14.2	Y	corallivore	Y	Y	Y	N	NA	0.474	N	NA	NA
184	T191	Tetiaroa	TL8	-16.99798	-149.58922	Lagoon	6.11.18	10.10-11.30	Chaetodontidae	Chaetodon	auriga	CHAEAURI	39.4	12.4	10.8	Y	corallivore	Y	Y	Y	N	0.006	0.026	Y	M	NA
185	T192	Tetiaroa	TL8	-16.99798	-149.58922	Lagoon	6.11.18	10.10-11.30	Chaetodontidae	Chaetodon	auriga	CHAEAURI	41.8	13.5	11.5	Y	corallivore	Y	Y	Y	Y	0.022	0.288	Y	M	NA
186	T193	Tetiaroa	TL8	-16.99798	-149.58922	Lagoon	6.11.18	10.10-11.30	Chaetodontidae	Chaetodon	auriga	CHAEAURI	75.8	16.1	13.8	Y	corallivore	Y	Y	Y	Y	0.03	0.649	Y	F	NA
190	A10	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	118.1	19.1	15.6	Y	corallivore	Y	Y	Y	N	NA	NA	N	F	NA
216	A63	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	132.8	17.6	14.7	Y	corallivore	Y	Y	Y	Y	0.49	1.27	Y	F	NA
217	A64	Mangareva	B1	-23.15397	-135.0599	Lagoon	14.06.18	10.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	158.8	17.5	14.2	Y	corallivore	Y	Y	Y	N	0.061	1.023	Y	M	NA
250	A116	Mangareva	D2	-23.08718	-134.97366	Lagoon	15.06.18	11.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	158.3	18	14.5	Y	corallivore	Y	Y	Y	N	NA	1.176	N	NA	NA
252	A119	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	172.3	19	16	Y	corallivore	Y	Y	N	Y	1.075	0.995	N	F	NA
263	A141	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	163.4	18.5	15.1	Y	corallivore	Y	Y	Y	N	NA	1.64	Y	NA	NA
268	A149	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	56.4	12.5	10.1	Y	corallivore	Y	Y	Y	N	NA	0.532	N	NA	NA
269	A152	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	155.9	18.6	15.1	Y	corallivore	N	N	N	Y	0.079	1.04	Y	M	NA
272	A163	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	137.8	18.5	14.6	Y	corallivore	Y	Y	Y	Y	0.154	0.829	Y	M	NA
293	A189	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	166.2	17.7	14.5	Y	corallivore	Y	Y	N	Y	0.352	1.001	Y	F	NA
A152	A152	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Chaetodontidae	Chaetodon	auriga	CHAEAURI	155.9	18.6	15.1	Y	corallivore	N	N	N	Y	0.079	1.04	Y	M	June
37	F239	Moorea	3Buoys	-17.4869	-149.87532	Lagoon	29/06/2018	10:45-12:15	Holocentridae	Myripristis	berndti	MYRIBERN	142	19	16	Y	carnivore	Y	N	N	Y	0.195	1.129	NA	F	June
16	F104	Moorea	Maharepa	-17.47809	-149.79784	Lagoon	24/03/2018	11:30-13:45	Aulostomidae	Aulostomus	chinensis	AULOCHIN	122.3	42.5	40.3	Y	carnivore	Y	Y	N	N	NA	NA	NA	F	March
27	F188	Moorea	TheHangover	-17.54487	-149.90109	Lagoon	30/03/2018	10:45-12:40	Aulostomidae	Aulostomus	chinensis	AULOCHIN	197.1	49.9	44.7	Y	carnivore	Y	Y	N	N	NA	NA	NA	F	March
63	F349	Moorea	OponohuDaybreakI	-17.4888	-149.85818	Lagoon	5/7/2018	6.30-7.40	Aulostomidae	Aulostomus	chinensis	AULOCHIN	198.4	46.4	40.5	Y	carnivore	Y	Y	Y	Y	0.404	1.883	NA	M	July
75	F466	Moorea	SamSite	-17.51571	-149.92183	Lagoon	12/7/2018	10.00-12.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	337.2	52	49	Y	carnivore	Y	Y	Y	Y	12.577	6.62	NA	F	July
223	A72	Mangareva	C1	-23.06875	-135.0078	Slope	14.06.18	9.30-13.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	384	60.5	54	Y	carnivore	Y	Y	Y	Y	11.15	5.189	Y	F	NA
224	A74	Mangareva	C2	-23.077614	-135.013461	Lagoon	14.06.18	13.00-14.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	254.5	62.1	57	Y	carnivore	Y	Y	Y	Y	13.82	7.66	Y	F	NA
228	A78	Mangareva	C1	-23.06875	-135.0078	Slope	15.06.18	9.30-13.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	113.6	40.6	36.5	Y	carnivore	Y	Y	N	Y	3.913	2.7	Y	F	NA
261	A138	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	156.5	40	38.5	Y	carnivore	Y	N	Y	Y	0.976	2.208	N	F	NA
262	A140	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	43.1	32	29	Y	carnivore	Y	Y	N	N	NA	0.568	N	NA	NA
264	A143	Mangareva	D2	-23.08718	-134.97366	Lagoon	16.06.18	11.00-14.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	194.3	48.5	43	Y	carnivore	Y	N	N	Y	0.342	2.972	Y	F	NA
281	A176	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	42.8	32	29.5	Y	carnivore	Y	Y	N	Y	0.087	0.409	Y	F	NA
282	A177	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	40.1	31.2	28	Y	carnivore	Y	N	N	Y	0.099	0.343	Y	F	NA
310	A212	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	70	46.2	41.5	Y	carnivore	Y	Y	Y	Y	0.553	2.113	Y	M	NA
313	A215	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Aulostomidae	Aulostomus	chinensis	AULOCHIN	31.8	28.6	25.2	Y	carnivore	Y	Y	Y	N	NA	0.417	Y	NA	NA
18	F117	Moorea	Maharepa	-17.47809	-149.79784	Lagoon	24/03/2018	11:30-13:45	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	23.1	10.1	8.9	Y	planktivore	Y	N	N	N	NA	NA	NA	NA	March
19	F120	Moorea	Maharepa	-17.47809	-149.79784	Lagoon	24/03/2018	11:30-13:45	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	31.4	10.2	8.2	Y	planktivore	Y	N	N	N	NA	NA	NA	NA	March
64	F383	Moorea	AlexSite	-17.484337	-149.89367	Lagoon	9/7/2018	10.45-12.20	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	39.8	11	8.5	Y	planktivore	Y	N	N	Y	0.136	0.737	NA	F	July
66	F386	Moorea	AlexSite	-17.484337	-149.89367	Lagoon	9/7/2018	10.45-12.20	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	28.7	10.4	8.5	Y	planktivore	Y	N	Y	Y	0.232	0.095	NA	F	July
71	F403	Moorea	AlexSite	-17.484337	-149.89367	Lagoon	9/7/2018	10.45-12.20	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	22.5	9.1	6.5	Y	planktivore	Y	N	Y	Y	0.119	0.122	NA	M	July
73	F435	Moorea	Pharmacie	-17.48306	-149.8163	Lagoon	11/7/2018	10.10-12.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	33.9	11	9	Y	planktivore	Y	N	Y	Y	0.167	0.3	NA	M	July
199	A30	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	31	10	8.5	Y	planktivore	Y	N	Y	N	NA	NA	N	NA	NA
202	A36	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	36.8	10.2	7.1	Y	planktivore	Y	N	Y	N	NA	NA	N	M	NA
204	A38	Mangareva	A2	-23.07165	-135.0064	Lagoon	13.06.18	10.00-15.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	29	9.9	7.8	Y	planktivore	Y	N	N	Y	0.05	NA	N	F	NA
241	A93	Mangareva	C2	-23.077614	-135.013461	Lagoon	15.06.18	13.00-14.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	24.4	9.9	7.5	Y	planktivore	Y	N	Y	N	NA	0.08	Y	M	NA
242	A95	Mangareva	C1	-23.06875	-135.0078	Slope	15.06.18	9.30-13.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	22.2	8.9	6.5	Y	planktivore	Y	N	N	Y	0.062	0.139	Y	F	NA
278	A173	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	34.2	11	9	Y	planktivore	Y	N	Y	N	NA	0.155	N	NA	NA
286	A181	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	22.8	9.5	7.5	Y	planktivore	Y	Y	Y	Y	0.1	0.11	Y	F	NA
289	A184	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	30.6	10.4	7.5	Y	planktivore	Y	Y	N	N	NA	0.237	Y	NA	NA
290	A185	Mangareva	E1	-23.080922	-135.016362	Lagoon	17.06.18	10.00-14.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	25.3	10	7.5	Y	planktivore	Y	Y	Y	N	NA	0.134	Y	NA	NA
297	A198	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	22	8	7	Y	planktivore	Y	Y	Y	Y	0.072	0.117	N	M	NA
299	A201	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	36.6	11.5	9	Y	planktivore	Y	N	Y	N	NA	0.11	N	NA	NA
302	A204	Mangareva	F2	-23.062236	-134.996667	Lagoon	18.06.18	11.00-13.00	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	15.8	7.5	5.5	Y	planktivore	Y	N	N	Y	0.063	0.128	N	F	NA
317	F29	Moorea	OpunohuPass	-17.48483	-149.86743	Slope	20/03/2018	10:00-11:30	Pomacentridae	Dascyllus	flavicaudus	DASCFLAV	22.8	9	7.5	Y	planktivore	Y	N	Y	N	NA	NA	NA	NA	March
3	F14	Moorea	BoatRamp	-17.48498	-149.85851	Slope	18/03/2018	11:00-13:00	Labridae	Epibulus	insidiator	EPIBINSI	221.2	26	21	Y	carnivore	Y	N	Y	N	NA	NA	NA	F	March
