,0
D55,25400.0
275,25364.0
D58,25206.0
277,24953.0
D113,24864.0
D17,24839.0
C18,24560.0
W52,24555.0
D116,24520.0
230CarrionCrow,24410.0
1,24278.0
84,24240.0
291,23899.0
267,23881.0
286,23826.0
53,23683.0
T96,23479.0
274,23433.0
270,23281.0
2,22973.0
302,22866.0
W55,22777.0
298bHorsfieldsBronzeCuckoo,22591.0
T130,22274.0
253,22255.0
288,22225.0
WS26,22004.0
173EuropeanGreenfinch,21815.0
78,21417.0
30,21378.0
266,21260.0
C15,20980.0
268Rook,20931.0
D111,20875.0
261,20803.0
116CommonKestrel,20785.0
T49,20728.0
D41,20676.0
256Zander,20633.0
D57,20422.0
T12,20374.0
12,20168.0
W59,20100.0
M158,20006.0
W57,19974.0
F2R,19876.0
D51,19874.0
271,19853.0
WS11,19792.0
117LongearedOwl,19747.0
300,19590.0
9,19501.0
7,19483.0
M251,19417.0
D115,19337.0
D1,19114.0
M123,18965.0
299,18770.0
D15,18660.0
70,18645.0
D60,18614.0
296,18492.0
D117,18315.0
D103,18296.0
F300aAsp,18205.0
D18,18153.0
287,18047.0
D54,17984.0
D114,17738.0
F250,17719.0
D45,17715.0
D50,17688.0
T83,17682.0
F257,17654.0
F35,17567.0
T23,17524.0
5,17422.0
WS24,17261.0
T61,17258.0
T50,17171.0
254,17118.0
D118,17021.0
13,16867.0
W64,16727.0
D19,16716.0
F296,16652.0
8,16639.0
T53,16626.0
268,16569.0
T65,16491.0
T77,16455.0
T79,16379.0
55,16362.0
51,16217.0
A52,15943.0
20,15888.0
C26,15857.0
D11,15813.0
248,15751.0
292,15735.0
A59,15731.0
F30,15695.0
265,15674.0
10,15657.0
C27,15624.0
284,15588.0
T6,15352.0
A122,15347.0
M66,15221.0
W56,15220.0
T48,15194.0
T143,15049.0
123,14997.0
T67,14901.0
82,14789.0
56,14743.0
D13,14719.0
D102,14568.0
101,14498.0
28,14457.0
74,14362.0
T70,14360.0
280,14324.0
C1,14310.0
T25,14273.0
T84,14270.0
D2,14149.0
3,14043.0
D10,13922.0
D5,13903.0
232,13873.0
C7,13862.0
D12,13843.0
T3,13665.0
A1,13648.0
71,13625.0
279,13625.0
D3,13597.0
A46,13538.0
D16,13404.0
T21,13361.0
D105,13336.0
T29,13287.0
A120,13259.0
294,13226.0
WS15,13180.0
F57,13153.0
F460,13073.0
47Dunlin,13019.0
49,12948.0
125,12882.0
D59,12812.0
D107,12803.0
189,12783.0
172EuropeanGreenfinch,12676.0
229,12638.0
T44,12596.0
77,12590.0
190CommonHouseGecko,12589.0
213,12580.0
A103,12579.0
WS12,12562.0
F273,12387.0
F456,12376.0
50,12314.0
245,12186.0
F283,12121.0
298,12104.0
A12,12094.0
D9,12088.0
T80,12083.0
111,12073.0
A71,12042.0
342EuropeanGreenToad,12024.0
109,11968.0
WS28,11922.0
102,11890.0
T109,11875.0
W53,11861.0
M96,11857.0
11,11857.0
F384,11776.0
D7,11772.0
T124,11767.0
57,11752.0
126,11740.0
188BrookTrout,11725.0
D106,11692.0
145,11645.0
F32,11642.0
F1,11586.0
225,11505.0
T81,11407.0
W62,11363.0
F99,11342.0
T123,11282.0
F408,11197.0
F431,11143.0
D120,11125.0
T142,11028.0
140,10938.0
110,10860.0
A9,10784.0
WS9,10766.0
F348,10757.0
279aWesternGreyKangaroo,10755.0
A115,10711.0
307,10692.0
79,10687.0
80,10661.0
36,10612.0
F60,10608.0
163,10570.0
WS35,10515.0
135,10498.0
146,10492.0
A43,10445.0
F317,10433.0
188,10384.0
94,10384.0
150,10375.0
C24,10342.0
F350,10259.0
W54,10241.0
83,10158.0
246,10100.0
F51,9971.0
113,9921.0
59,9915.0
A114,9888.0
T54,9816.0
153,9773.0
227,9764.0
C16,9693.0
F264,9556.0
D48,9540.0
T60,9525.0
A29,9398.0
272,9315.0
T120,9300.0
A44,9284.0
A73,9220.0
D52,9210.0
58,9208.0
38,9180.0
35,9140.0
A56,9132.0
F54,9122.0
A15,9121.0
237,9078.0
