itolid	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
Rhinecanthus aculeatus	112971	97959	33710	17415	13060	5326	11167	32849	227
Cephalopholis argus	72507	14492	4429	99607	1763	1581	11250	2794	4634
Chaetodon auriga	22847	743	866	33370	7972	96	1407	1024	165
Myripristis berndti	2172	27	0	30911	207	0	1585	29	856
Aulostomus chinensis	15404	778	613	24576	8242	574	1915	509	335
Dascyllus flavicaudus	48281	22865	6744	111081	16264	1961	2987	2744	1902
Epibulus insidiator	74851	13602	4751	39754	9122	3654	8874	1656	11270
Naso lituratus	12429	212	16166	98848	806	10258	67768	4655	1103
Epinephelus merra	37276	1737	1466	177778	373	1438	9393	2212	3482
Chaetodon ornatissimus	14371	328	10204	145712	2726	12977	57120	899	2769
Chaetodon reticulatus	11594	945	7370	124595	2462	18628	57269	1173	2746
Zebrasoma scopas	39577	127	13869	204182	1000	16336	113798	559	6442
Abudefduf sexfasciatus	78695	27642	9129	53086	18006	2391	6022	8086	8481
Chlorurus spilurus	167385	49891	11889	37657	6653	3718	12205	20496	5288
Sargocentron spiniferum	32623	2623	671	116242	2971	1036	3887	148	5941
Ctenochaetus striatus	118072	88788	26124	57568	8319	5741	21133	25487	3340
Halichoeres trimaculatus	85724	69996	18070	16222	15872	7635	8121	23606	838
Cephalopholis urodeta	52278	91	363	46063	4573	26500	1806	256	3190
Myripristis violacea	24089	442	123	105996	3843	1160	6125	462	7559
Castor fiber	1754	0	4392	21558	791	145	43027	37	20277
Equus caballus	54505	97	22819	185909	2637	1175	158146	1400	45
Equus hemionus	851	215	36898	151742	1646	969	121267	1266	49
Vulpes vulpes	2339	0	0	48884	1217	9	15242	0	133046
Nyctalus noctula	103051	0	0	1635	32	0	43	0	6
Erinaceus europaeus	58095	0	73	44699	308	10	1433	0	69610
Falco tinnunculus	19054	0	0	1706	22	0	3	0	0
Sus scrofa	15631	617	17948	394817	6621	1660	158378	1698	16226
Rupicapra rupicapra	577	117	3432	144074	869	64	67536	312	30
Canis aureus	3710	0	0	15821	65	3	4506	0	66404
Marmota marmota	414	14	7223	171195	942	0	33485	724	10
Capra ibex	1483	265	4944	182298	349	569	96959	895	11
Capra hircus	79483	71	1911	97411	6646	312	31378	439	15
Bos frontalis	20424	25	1124	164968	1165	473	39350	390	9
Cervus unicolor	17005	43	667	171687	320	102	16998	260	0
Bos taurus	3824	14	3490	151789	253	479	49223	910	10
Apodemus sylvaticus	1517	0	0	46385	11	230	4848	9	4
Ardea cinerea	5746	3	0	80155	469	0	0	0	12
Haliaeetus albicilla	45392	0	0	64522	269	0	533	0	4300
Phalacrocorax carbo	16051	0	0	52734	4312	0	532	0	1030
Carduelis chloris	12277	3	0	22020	125	0	66	0	0
Salvelinus fontinalis	8214	0	0	848	0	0	2	0	2565
Hemidactylus frenatus	1800	0	6	5575	4392	231	234	0	194
Homo sapiens	4321	0	801	177892	4144	329	138759	388	24
Ursus arctos	25041	18	32	132715	39	8	153	0	183
Zamenis longissimus	59260	11	32	11945	480	28	25347	0	120
Podarcis siculus	51454	0	207	3186	206	229	7609	4	10
Cricetus cricetus	853	0	5	48124	2159	781	84242	1337	19
Lynx lynx	4932	0	60	161095	3984	0	3082	0	8760
Sander lucioperca	130	0	0	20503	0	0	0	0	0
Turdus merula	17067	0	448	27945	666	214	9764	0	196
Ciconia ciconia	1962	0	0	66829	23	0	0	0	0
Corvus frugilegus	14690	68	4	1790	938	0	145	0	11
Macropus fuliginosus	10991	143	11797	133875	1980	285	21098	462	32
Vespadelus baverstocki	5565	3	2	41438	394	82	52	0	12
Phascolarctos cinereus	73413	379	23	33978	1380	2699	16691	1860	0
Chrysococcyx basalis	520	0	18374	17368	2763	5	17293	27	0
Martes foina	2114	0	0	6105	0	0	0	0	0
Lepus europaeus	2254	0	7444	217331	1919	3398	194838	637	40
Anser anser	6026	0	0	61127	485	0	324	0	32
