DATASET_MULTIBAR									
SEPARATOR TAB									
DATASET_LABEL	Taxa barchart2								
COLOR	#00FF00								
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
FIELD_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
LEGEND_TITLE	Dataset legend								
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
LEGEND_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
MARGIN	0								
WIDTH	200								
DATA									
'Rhinecanthus_aculeatus'	34.7941383	30.17056584	10.38240258	5.363676683	4.022372522	1.640364169	3.439344101	10.11722167	0.069914132
'Cephalopholis_argus'	34.03173799	6.801935632	2.078786428	46.75133884	0.827478093	0.742054943	5.280277109	1.311386155	2.175004811
'Chaetodon_auriga'	33.35815448	1.084829902	1.264418163	48.72244123	11.63965542	0.140166448	2.054314498	1.495108775	0.240911082
'Myripristis_berndti'	6.069243021	0.075446391	0	86.37494062	0.578422332	0	4.428982591	0.081035013	2.39193003
'Aulostomus_chinensis'	29.09379368	1.469421675	1.157783402	46.41710422	15.56680391	1.084123447	3.616892683	0.961356854	0.63272013
'Dascyllus_flavicaudus'	22.47415386	10.6433489	3.139240978	51.70670626	7.570672488	0.912819033	1.390408185	1.277294965	0.885355329
'Epibulus_insidiator'	44.67809519	8.118948989	2.835842277	23.72891473	5.444864923	2.181049817	5.296835269	0.988456075	6.72699273
'Naso_lituratus'	5.855968338	0.099884567	7.616669415	46.57259299	0.379749817	4.83309383	31.9291385	2.193220099	0.519682442
'Epinephelus_merra'	15.8516723	0.738661734	0.623418596	75.60034871	0.158618783	0.611511556	3.994386681	0.940656163	1.480725479
'Chaetodon_ornatissimus'	5.815722807	0.132736558	4.129401957	58.9674067	1.103170299	5.251592434	23.11558602	0.363811482	1.120571738
'Chaetodon_reticulatus'	5.112398691	0.416699738	3.249817005	54.94042737	1.08562408	8.214055789	25.25288603	0.517236818	1.210854477
'Zebrasoma_scopas'	9.996968855	0.032079618	3.503245851	51.57543762	0.252595418	4.126398747	28.74485337	0.141200839	1.627219682
'Abudefduf_sexfasciatus'	37.20135389	13.06715578	4.315536688	25.09525475	8.511945844	1.130293375	2.846769847	3.822481067	4.009208747
'Chlorurus_spilurus'	53.10741096	15.8292669	3.772106275	11.94770006	2.110843893	1.179635893	3.872365808	6.50290943	1.677760786
'Sargocentron_spiniferum'	19.63561291	1.578769968	0.403871387	69.96545124	1.788229346	0.623562976	2.33956495	0.089080425	3.575856797
'Ctenochaetus_striatus'	33.29986575	25.04089437	7.367756055	16.23591259	2.346208951	1.619135183	5.960143497	7.188102839	0.941980754
'Halichoeres_trimaculatus'	34.8352595	28.44394597	7.343021082	6.592057996	6.449830139	3.102599112	3.300092651	9.592659417	0.340534127
'Cephalopholis_urodeta'	38.69005329	0.067347543	0.268650089	34.09043813	3.384399053	19.61219657	1.336589698	0.18946122	2.360864417
'Myripristis_violacea'	16.08088171	0.29506205	0.082110027	70.75881681	2.565437686	0.77437099	4.088812342	0.308413274	5.046095101
'Castor_fiber'	1.906915559	0	4.774899164	23.43744904	0.859960209	0.157641252	46.77813896	0.040225699	22.04477012
'Equus_caballus'	12.77262363	0.022730841	5.347371776	43.56564878	0.617950803	0.275347817	37.05970712	0.328073995	0.010545236
'Equus_hemionus'	0.270241948	0.068274993	11.71725897	48.186902	0.522700641	0.307713804	38.50931874	0.402028561	0.015560347
'Vulpes_vulpes'	1.165206215	0	0	24.35226191	0.60626591	0.004483478	7.593019722	0	66.27876276
'Nyctalus_noctula'	98.36207966	0	0	1.560605916	0.030543969	0	0.041043458	0	0.005726994
'Erinaceus_europaeus'	33.34423858	0	0.041899121	25.65546296	0.176779852	0.005739606	0.822485479	0	39.9533944
'Falco_tinnunculus'	91.67187876	0	0	8.207842194	0.105845562	0	0.014433486	0	0
'Sus_scrofa'	2.547441639	0.100554762	2.925051663	64.3447806	1.079048755	0.270536314	25.81144597	0.276729314	2.644410981
'Rupicapra_rupicapra'	0.265885139	0.053914318	1.581486653	66.39018299	0.400440531	0.029491593	31.12100308	0.143771514	0.013824184
'Canis_aureus'	4.099039874	0	0	17.48002961	0.071816062	0.003314587	4.978510424	0	73.36728944
'Marmota_marmota'	0.193451616	0.006541842	3.375123244	79.99504689	0.440172518	0	15.64668445	0.338306691	0.004672744
'Capra_ibex'	0.515336741	0.092086471	1.718020801	63.34784709	0.121276145	0.19772529	33.69287598	0.311009024	0.003822457
'Capra_hircus'	36.51603833	0.032618783	0.877950622	44.75251073	3.053301848	0.143338877	14.41566437	0.201685151	0.006891292
'Bos_frontalis'	8.960724439	0.010968376	0.493138184	72.37724194	0.511126321	0.207521674	17.26422379	0.171106665	0.003948615
'Cervus_unicolor'	8.211722892	0.020764721	0.322094629	82.90773703	0.154528158	0.04925585	8.208342589	0.125554128	0
'Bos_taurus'	1.821021753	0.006666921	1.661968075	72.28322984	0.12048078	0.228103928	23.44041678	0.433349842	0.004762086
'Apodemus_sylvaticus'	2.862048147	0	0	87.51226323	0.020753151	0.433929515	9.146479511	0.016979851	0.0075466
'Ardea_cinerea'	6.651617758	0.003472825	0	92.78809979	0.542918331	0	0	0	0.013891301
'Haliaeetus_albicilla'	39.46581345	0	0	56.09828198	0.233880504	0	0.463413786	0	3.73861028
'Phalacrocorax_carbo'	21.4990825	0	0	70.63314537	5.77559303	0	0.712573166	0	1.379605942
'Carduelis_chloris'	35.59479284	0.008697921	0	63.84274158	0.362413383	0	0.191354266	0	0
'Salvelinus_fontinalis'	70.63376043	0	0	7.292114541	0	0	0.017198383	0	22.05692665
'Hemidactylus_frenatus'	14.47876448	0	0.048262548	44.84395109	35.32818533	1.858108108	1.882239382	0	1.56048906
'Homo_sapiens'	1.322790196	0	0.245210587	54.4581795	1.268605085	0.100716958	42.47837188	0.118778661	0.007347134
'Ursus_arctos'	15.82979853	0.011378794	0.020228967	83.89647826	0.024654053	0.005057242	0.096719747	0	0.115684403
'Zamenis_longissimus'	60.95265524	0.011314195	0.032914022	12.28618742	0.493710336	0.02879977	26.07099143	0	0.123427584
'Podarcis_siculus'	81.79635959	0	0.329067642	5.064780224	0.327477943	0.364041014	12.0960178	0.006358795	0.015896988
'Cricetus_cricetus'	0.620273415	0	0.003635835	34.99418266	1.569953461	0.567917394	61.25799884	0.972222222	0.013816172
'Lynx_lynx'	2.711186116	0	0.032982799	88.55606801	2.190057885	0	1.694216466	0	4.815488723
